Classlongname,LOC,NOPA,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,WOC,WMCNAMM,LOCNAMM,NOMNAMM,NOAM,TCC,PK_CountDeclClassMethod,NumberOfTokens,NumberOfIdentifies,NumberOfReturnAndPrintStatements,NumberOfConditionalJumpStatements,NumberOfKeywords,NumberOfAssignments,NumberOfOperatorsWithoutAssignments,NumberOfUniqueIdentifiers,NumberOfDots,NumberOfNewStatements,MinLineCode,CountLineCodeNAMM,LogStmtDecl,CSNOMNAMM,NIM,RFC,CFNAMM,DAC,NMO,NOII,LogCyclomaticStrict,FANIN,FANOUT,ATFD,NumberOfMethodCalls,SumCountPath,NumberOfClassConstructors,AvgLineCodeExe,AvgStmtDecl,NumberOfDepends,label
Eclipse3.3.1__org.eclipse.team.internal.ccvs.ui.CVSProjectPropertiesPage.RepositorySelectionDialog.createDialogArea.(Anon_3),4.0,0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,3,3,0.3010299956639812,1,0,0,0,0,1,12,0.3010299956639812,0,1,0,0,1,0,2.0,1.0,3,0
Eclipse2.1.2__org.eclipse.team.internal.ccvs.ui.merge.MergeWizardEndPage.createControl.(Anon_1),8.0,0,2.0,2.0,3.0,1.0,7.0,0.0,7.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,6.0,0.0,3.0,5.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,2.0,8.0,1.0,0.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,7,7,0.4771212547196624,1,0,0,0,0,1,1,0.6020599913279624,3,2,0,0,2,0,5.0,2.0,3,0
Eclipse3.3.1__org.eclipse.ui.internal.net.ProxyPreferencePage.Entry.addProtocolEntry.(Anon_5),4.0,0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,3,3,0.3010299956639812,1,0,0,0,0,1,12,0.3010299956639812,0,1,0,0,1,0,2.0,1.0,3,0
argouml-VERSION_0_24__org.argouml.notation.Notation,241.0,11,1.0,1.0,1.0,1.0,10.0,0.0,5.0,5.0,2.0,8.0,0.0,8.0,14.0,2.0,0.0,10.0,10.0,0.0,1.0,0.0,9.0,29.0,88.0,41.0,51.0,124.0,37.0,49.0,27.0,22.0,2.0,2.0,2.0,1.0,1.0,1.0,90.0,1.41,11.0,11.0,11.0,10.0,0.2,5.0,188.0,5.0,5.0,0.0833333333333333,19.0,0,0,0,0,0,0,0,0,0,0,3,29,1.1139433523068367,5,0,13,12,14,0,0,1.0791812460476249,52,26,1,7,11,1,3.4,1.2,8,1
Eclipse2.1.1__org.eclipse.team.internal.ccvs.core.client.ByteCountOutputStream,21.0,0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,9.0,4.0,3.0,10.0,3.0,6.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.11,2.0,2.0,2.0,2.0,0.5,1.0,18.0,1.0,1.0,0.0,20.0,0,0,0,0,0,0,0,0,0,0,3,3,0.4771212547196624,1,0,0,0,0,0,1,0.4771212547196624,3,2,0,0,2,0,1.0,1.0,0,0
argouml-VERSION_0_26__org.argouml.uml.ui.PropPanel.TargettableButton,15.0,0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,12.0,4.0,4.0,0.0,3.0,7.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,3.0,3.0,3.0,2.0,0.5,1.0,9.0,1.0,1.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,3,3,0.4771212547196624,1,0,0,0,0,1,13,0.6020599913279624,2,3,0,0,3,1,2.0,1.0,2,0
argouml-VERSION_0_18_1__org.argouml.uml.cognitive.critics.WizNavigable,115.0,0,2.0,2.0,3.0,1.0,15.0,0.0,10.0,5.0,1.0,5.0,0.0,0.0,1.0,6.0,5.0,6.0,34.0,0.0,0.0,0.0,6.0,12.0,74.0,28.0,50.0,36.0,37.0,55.0,23.0,32.0,5.0,5.0,7.0,4.0,3.0,2.0,73.0,0.49,17.0,17.0,23.0,9.0,0.6666666666666666,13.0,85.0,4.0,2.0,0.2666666666666666,5.0,0,0,0,0,0,0,0,0,0,0,1,44,1.230448921378274,4,28,1,0,2,3,0,1.380211241711606,13,32,2,1,22,1,7.333333333333333,2.6666666666666665,7,1
Eclipse3.3.1__org.eclipse.ui.internal.progress.VirtualInfoItem.setLinkText.(Anon_5),10.0,0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.25,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,0.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,3,3,0.3010299956639812,1,0,0,0,0,1,12,0.3010299956639812,1,2,0,0,1,0,2.0,1.0,4,0
argouml-VERSION_0_26__org.argouml.cognitive.ui.ToDoTreeRenderer,119.0,0,12.0,12.0,12.0,5.0,40.0,3.0,37.0,0.0,1.0,11.0,0.0,1.0,0.0,1.0,13.0,2.0,2.0,0.0,1.0,0.0,1.0,15.0,89.0,28.0,73.0,16.0,48.0,73.0,23.0,50.0,23.0,23.0,23.0,10.0,2.0,4.0,50.0,0.18,24.0,24.0,24.0,11.0,0.0,1.0,41.0,1.0,1.0,0.0,12.0,0,0,0,0,0,0,0,0,0,0,3,3,1.0,1,0,0,0,13,0,13,1.3979400086720375,21,20,6,1,43,0,30.0,4.5,11,0
Eclipse3.3.1__org.eclipse.team.internal.ccvs.core.util.MoveDeleteHook.moveFile.(Anon_3),14.0,0,2.0,2.0,2.0,1.0,13.0,0.0,13.0,0.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,11.0,0.0,6.0,9.0,1.0,8.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,14.0,1.0,0.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,13,13,0.3010299956639812,1,0,0,0,0,1,12,0.4771212547196624,5,8,0,0,2,0,10.0,1.0,7,0
