longname,LOC,CYCLO,MAXNESTING,CC,CM,FANOUT,CountInput,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MinEssentialKnots,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,NOPL,label
re-R3_1_1_CleandDuplicate__org.eclipse.jdt.internal.compiler.parser.Parser.consumeExplicitConstructorInvocationWithTypeArguments,41,5.0,1.0,1.0,1.0,3.0,15.0,3.0,27.0,4.0,22.0,11.0,15.0,8.0,1.0,18.0,21.0,4.0,17.0,3.0,5.0,1.0,3.0,0.0,0.0,0.41,5.0,3.0,5.0,1.0,2.0,0
re-R3_0_2_CleandDuplicate__org.eclipse.jdt.internal.compiler.lookup.BaseTypeBinding.isCompatibleWith,59,29.0,2.0,0.0,0.0,1.0,11.0,2.0,57.0,1.0,50.0,0.0,2.0,13.0,1.0,13.0,21.0,1.0,20.0,8.0,29.0,13.0,41.0,41.0,41.0,0.0,29.0,8.0,29.0,13.0,1.0,0
4.0_CleandDuplicate__org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POForEach.setToBeFlattened,3,1.0,0.0,3.0,6.0,1.0,7.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0
re-R3_0_2_CleandDuplicate__org.eclipse.jdt.internal.core.ClassFile.codeComplete,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.67,1.0,1.0,1.0,1.0,3.0,0
N_0_20_CleandDuplicate__org.argouml.uml.ui.behavior.use_cases.PropPanelExtend.ActionNewExtensionPoint.actionPerformed,22,4.0,3.0,0.0,0.0,6.0,1.0,0.0,19.0,5.0,13.0,3.0,12.0,4.0,1.0,6.0,10.0,4.0,6.0,4.0,4.0,1.0,0.0,0.0,0.0,0.16,4.0,4.0,4.0,1.0,1.0,0
re-R3_6_CleandDuplicate__org.eclipse.jdt.internal.codeassist.complete.CompletionOnKeyword2.getToken,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0
.3-src_CleandDuplicate__org.apache.tools.ant.taskdefs.email.MimeMailer.StringDataSource.setCharset,3,1.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0
.10_CleandDuplicate__org.jfree.chart.plot.SpiderWebPlot.setURLGenerator,14,1.0,0.0,1.0,1.0,1.0,2.0,0.0,4.0,1.0,2.0,10.0,2.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.5,1.0,1.0,1.0,1.0,1.0,0
N_0_28_1_CleandDuplicate__org.argouml.kernel.ProjectSettings.getShowBoldNamesValue,7,1.0,0.0,2.0,2.0,1.0,3.0,0.0,3.0,1.0,1.0,4.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.33,1.0,1.0,1.0,1.0,0.0,0
.2-src_CleandDuplicate__org.apache.tools.ant.taskdefs.optional.extension.JarLibAvailableTask.addConfiguredExtension,13,2.0,1.0,0.0,0.0,1.0,2.0,0.0,8.0,3.0,5.0,5.0,2.0,2.0,0.0,3.0,5.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.63,2.0,2.0,2.0,1.0,1.0,0
leandDuplicate__org.hsqldb.Scanner.scanWhitespace,27,4.0,2.0,1.0,5.0,3.0,9.0,9.0,18.0,3.0,13.0,0.0,6.0,5.0,1.0,12.0,15.0,3.0,12.0,4.0,4.0,4.0,2.0,2.0,2.0,0.0,4.0,4.0,4.0,4.0,0.0,0
re-R3_6_1_CleandDuplicate__org.eclipse.jdt.apt.ui.internal.preferences.AdvancedFactoryPathOptionsDialog.configureShell,5,1.0,0.0,0.0,0.0,3.0,3.0,0.0,5.0,1.0,3.0,0.0,5.0,1.0,0.0,3.0,4.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0
N_0_32_2_CleandDuplicate__org.argouml.ui.explorer.ExplorerTreeModel.modelElementAdded,3,1.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0
N_0_22_CleandDuplicate__org.argouml.model.MockModelImplementation.getUmlHelper,6,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0
0.16.0_CleandDuplicate__org.elasticsearch.search.facet.histogram.bounded.BoundedValueHistogramFacetCollector.doCollect,3,1.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0
2_1_0_CleandDuplicate__org.apache.struts2.views.xslt.SimpleTextNode.getWholeText,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0
-src_CleandDuplicate__org.mortbay.http.HttpFields.getIntField,14,2.0,1.0,1.0,1.0,2.0,2.0,0.0,8.0,3.0,4.0,6.0,4.0,2.0,0.0,3.0,5.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.75,2.0,2.0,2.0,1.0,1.0,0
276-tags-aTunes_1_13_0_CleandDuplicate__net.sourceforge.atunes.kernel.modules.player.xine.XineHandler.error,3,1.0,0.0,1.0,1.0,1.0,4.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0
es-J_2_0_0_CleandDuplicate__org.xml.sax.helpers.NamespaceSupport.Context.Context,7,1.0,0.0,1.0,2.0,1.0,2.0,0.0,4.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0
.0-src_CleandDuplicate__org.apache.tools.ant.types.DataType.checkAttributesAllowed,10,2.0,1.0,13.0,32.0,1.0,32.0,0.0,5.0,1.0,2.0,5.0,2.0,2.0,0.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,0
-0.4.0_CleandDuplicate__org.apache.hadoop.io.SequenceFile.Sorter.SortPass.compare,4,1.0,0.0,0.0,0.0,1.0,7.0,0.0,4.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0
0.19.0_CleandDuplicate__org.elasticsearch.search.facet.terms.shorts.InternalShortTermsFacet.readTermsFacet,5,1.0,0.0,1.0,1.0,1.0,2.0,0.0,5.0,2.0,3.0,0.0,3.0,1.0,0.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0
